Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,16547.914063,16630.439453,16521.234375,16625.080078,16625.080078,9244361700
2023-01-02,16625.509766,16759.343750,16572.228516,16688.470703,16688.470703,12097775227
2023-01-03,16688.847656,16760.447266,16622.371094,16679.857422,16679.857422,13903079207
2023-01-04,16680.205078,16964.585938,16667.763672,16863.238281,16863.238281,18421743322
2023-01-05,16863.472656,16884.021484,16790.283203,16836.736328,16836.736328,13692758566
2023-01-06,16836.472656,16991.994141,16716.421875,16951.968750,16951.968750,14413662913
2023-01-07,16952.117188,16975.017578,16914.191406,16955.078125,16955.078125,7714767174
2023-01-08,16954.146484,17091.144531,16924.050781,17091.144531,17091.144531,9768827914
2023-01-09,17093.992188,17389.957031,17093.992188,17196.554688,17196.554688,18624736866
2023-01-10,17192.949219,17484.720703,17162.990234,17446.292969,17446.292969,15808338949
2023-01-11,17446.359375,17934.896484,17337.994141,17934.896484,17934.896484,18372283782
2023-01-12,18117.593750,19030.087891,17995.203125,18869.587891,18869.587891,34971338710
2023-01-13,18868.906250,19964.322266,18753.164063,19909.574219,19909.574219,29225029694
2023-01-14,19910.537109,21075.142578,19907.828125,20976.298828,20976.298828,38967784639
2023-01-15,20977.484375,20993.748047,20606.986328,20880.798828,20880.798828,19298407543
2023-01-16,20882.224609,21360.875000,20715.746094,21169.632813,21169.632813,26792494050
2023-01-17,21175.833984,21438.660156,20978.533203,21161.519531,21161.519531,24999983362
2023-01-18,21161.050781,21564.501953,20541.544922,20688.781250,20688.781250,30005625418
2023-01-19,20686.746094,21163.011719,20685.380859,21086.792969,21086.792969,21152848261
2023-01-20,21085.373047,22692.357422,20919.126953,22676.552734,22676.552734,28799154319
2023-01-21,22677.427734,23282.347656,22511.833984,22777.625000,22777.625000,32442278429
2023-01-22,22777.986328,23056.730469,22387.900391,22720.416016,22720.416016,24746386230
2023-01-23,22721.087891,23126.486328,22654.304688,22934.431641,22934.431641,26518700512
2023-01-24,22929.626953,23134.011719,22549.744141,22636.468750,22636.468750,26405069715
2023-01-25,22639.267578,23722.099609,22406.076172,23117.859375,23117.859375,30685366709
2023-01-26,23108.955078,23237.078125,22911.373047,23032.777344,23032.777344,26357839322
2023-01-27,23030.716797,23417.720703,22654.593750,23078.728516,23078.728516,25383335641
2023-01-28,23079.964844,23165.896484,22908.845703,23031.089844,23031.089844,14712928379
2023-01-29,23031.449219,23919.890625,22985.070313,23774.566406,23774.566406,27423687259
2023-01-30,23774.648438,23789.347656,22657.582031,22840.138672,22840.138672,27205595568
2023-01-31,22840.796875,23225.021484,22765.568359,23139.283203,23139.283203,22837828665
2023-02-01,23137.835938,23764.539063,22877.750000,23723.769531,23723.769531,26683255504
